model,model_r2,model_adj_r2,model_f_stat,model_f_stat_pval,model_aic,model_bic,pred_col,pred_coef,pred_col_pval,pred_num_miss
Community School?,0.026625831776297515,0.024448260930159393,12.227309078608814,0.0005180326622748434,4969.075296218339,4977.289341993824,const,46.65270935960594,3.500942790118157e-43,
Community School?,0.026625831776297515,0.024448260930159393,12.227309078608814,0.0005180326622748434,4969.075296218339,4977.289341993824,Community School?_Yes,-34.25736052239671,0.0005180326622749446,0.0
Rigorous Instruction Rating,0.07683583072809519,0.06851903641033041,9.238635439615434,3.5365808206348314e-07,4951.2955935772825,4971.830708015994,const,41.15270935960589,9.760457861809213e-21,
Rigorous Instruction Rating,0.07683583072809519,0.06851903641033041,9.238635439615434,3.5365808206348314e-07,4951.2955935772825,4971.830708015994,Rigorous Instruction Rating_Approaching Target,-17.590725888531537,0.010620139723724093,0.0
Rigorous Instruction Rating,0.07683583072809519,0.06851903641033041,9.238635439615434,3.5365808206348314e-07,4951.2955935772825,4971.830708015994,Rigorous Instruction Rating_Exceeding Target,29.613645780581017,3.9418960623014004e-05,0.0
Rigorous Instruction Rating,0.07683583072809519,0.06851903641033041,9.238635439615434,3.5365808206348314e-07,4951.2955935772825,4971.830708015994,Rigorous Instruction Rating_Not Meeting Target,-28.81937602627257,0.40692313373843514,0.0
Rigorous Instruction Rating,0.07683583072809519,0.06851903641033041,9.238635439615434,3.5365808206348314e-07,4951.2955935772825,4971.830708015994,Rigorous Instruction Rating_nan,2.8472906403940375,0.8585939950167956,0.0
Collaborative Teachers Rating,0.06755100970126882,0.05915056834722632,8.04136435864297,2.889273307092729e-06,4955.788900182033,4976.3240146207445,const,30.07692307692305,9.449977929195831e-12,
Collaborative Teachers Rating,0.06755100970126882,0.05915056834722632,8.04136435864297,2.889273307092729e-06,4955.788900182033,4976.3240146207445,Collaborative Teachers Rating_Approaching Target,5.409563409563516,0.5093252700805223,0.0
Collaborative Teachers Rating,0.06755100970126882,0.05915056834722632,8.04136435864297,2.889273307092729e-06,4955.788900182033,4976.3240146207445,Collaborative Teachers Rating_Exceeding Target,34.22307692307699,1.4270697485256497e-07,0.0
Collaborative Teachers Rating,0.06755100970126882,0.05915056834722632,8.04136435864297,2.889273307092729e-06,4955.788900182033,4976.3240146207445,Collaborative Teachers Rating_Not Meeting Target,-23.0769230769231,0.39616484170714716,0.0
Collaborative Teachers Rating,0.06755100970126882,0.05915056834722632,8.04136435864297,2.889273307092729e-06,4955.788900182033,4976.3240146207445,Collaborative Teachers Rating_nan,13.923076923076948,0.3868779271395325,0.0
Supportive Environment Rating,0.02331066490330258,0.0167262424195046,3.5402747865378044,0.01470793655428703,4974.6019248203565,4991.0300163713255,const,44.79752066115704,1.9108153675834448e-26,
Supportive Environment Rating,0.02331066490330258,0.0167262424195046,3.5402747865378044,0.01470793655428703,4974.6019248203565,4991.0300163713255,Supportive Environment Rating_Approaching Target,-16.235615899252217,0.02397225513696166,0.0
Supportive Environment Rating,0.02331066490330258,0.0167262424195046,3.5402747865378044,0.01470793655428703,4974.6019248203565,4991.0300163713255,Supportive Environment Rating_Exceeding Target,12.523907910271616,0.10755882377464758,0.0
Supportive Environment Rating,0.02331066490330258,0.0167262424195046,3.5402747865378044,0.01470793655428703,4974.6019248203565,4991.0300163713255,Supportive Environment Rating_nan,0.7024793388430162,0.9626274386757044,0.0
Effective School Leadership Rating,0.004878853180943721,-0.004086202195804356,0.544207813104811,0.703352968968691,4984.99636698127,5005.531481419981,const,47.07614213197967,8.789977496642649e-24,
Effective School Leadership Rating,0.004878853180943721,-0.004086202195804356,0.544207813104811,0.703352968968691,4984.99636698127,5005.531481419981,Effective School Leadership Rating_Approaching Target,-4.846142131979716,0.5245593392030488,0.0
Effective School Leadership Rating,0.004878853180943721,-0.004086202195804356,0.544207813104811,0.703352968968691,4984.99636698127,5005.531481419981,Effective School Leadership Rating_Exceeding Target,-5.425656695086493,0.47191603330670595,0.0
Effective School Leadership Rating,0.004878853180943721,-0.004086202195804356,0.544207813104811,0.703352968968691,4984.99636698127,5005.531481419981,Effective School Leadership Rating_Not Meeting Target,-9.548364354201883,0.39579016712380477,0.0
Effective School Leadership Rating,0.004878853180943721,-0.004086202195804356,0.544207813104811,0.703352968968691,4984.99636698127,5005.531481419981,Effective School Leadership Rating_nan,-21.229988285825875,0.23223735032647333,0.0
Strong Family-Community Ties Rating,0.08591273991922932,0.0776777195581414,10.432608075285733,4.3839328466743806e-08,4946.859003874615,4967.3941183133265,const,27.2601156069364,3.3312266986981625e-09,
Strong Family-Community Ties Rating,0.08591273991922932,0.0776777195581414,10.432608075285733,4.3839328466743806e-08,4946.859003874615,4967.3941183133265,Strong Family-Community Ties Rating_Approaching Target,34.43528669191421,1.09050029596061e-07,0.0
Strong Family-Community Ties Rating,0.08591273991922932,0.0776777195581414,10.432608075285733,4.3839328466743806e-08,4946.859003874615,4967.3941183133265,Strong Family-Community Ties Rating_Exceeding Target,1.1805623591653078,0.8951782286720433,0.0
Strong Family-Community Ties Rating,0.08591273991922932,0.0776777195581414,10.432608075285733,4.3839328466743806e-08,4946.859003874615,4967.3941183133265,Strong Family-Community Ties Rating_Not Meeting Target,45.06131296449224,0.0002211965159972401,0.0
Strong Family-Community Ties Rating,0.08591273991922932,0.0776777195581414,10.432608075285733,4.3839328466743806e-08,4946.859003874615,4967.3941183133265,Strong Family-Community Ties Rating_nan,-5.926782273603061,0.7110330677484875,0.0
Trust Rating,0.015052003686329418,0.006178598314134254,1.6963052013260702,0.1497604446291232,4980.382604088616,5000.917718527327,const,49.497975708502025,2.110544037951572e-31,
Trust Rating,0.015052003686329418,0.006178598314134254,1.6963052013260702,0.1497604446291232,4980.382604088616,5000.917718527327,Trust Rating_Approaching Target,-12.439836173618307,0.10780693411522198,0.0
Trust Rating,0.015052003686329418,0.006178598314134254,1.6963052013260702,0.1497604446291232,4980.382604088616,5000.917718527327,Trust Rating_Exceeding Target,-10.997975708501995,0.1481295218641902,0.0
Trust Rating,0.015052003686329418,0.006178598314134254,1.6963052013260702,0.1497604446291232,4980.382604088616,5000.917718527327,Trust Rating_Not Meeting Target,-24.40706661759289,0.19961111079245733,0.0
Trust Rating,0.015052003686329418,0.006178598314134254,1.6963052013260702,0.1497604446291232,4980.382604088616,5000.917718527327,Trust Rating_nan,-28.164642375168654,0.08654220851822554,0.0
Student Achievement Rating,0.10302775379556794,0.09494692274868122,12.749648297035055,7.849300480026945e-10,4938.372402543151,4958.9075169818625,const,41.544680851063816,2.1761505740474974e-24,
Student Achievement Rating,0.10302775379556794,0.09494692274868122,12.749648297035055,7.849300480026945e-10,4938.372402543151,4958.9075169818625,Student Achievement Rating_Approaching Target,-21.808831794460016,0.0016415675699802126,0.0
Student Achievement Rating,0.10302775379556794,0.09494692274868122,12.749648297035055,7.849300480026945e-10,4938.372402543151,4958.9075169818625,Student Achievement Rating_Exceeding Target,35.802687569988755,8.078881717544733e-07,0.0
Student Achievement Rating,0.10302775379556794,0.09494692274868122,12.749648297035055,7.849300480026945e-10,4938.372402543151,4958.9075169818625,Student Achievement Rating_Not Meeting Target,-29.54468085106381,0.38794823822144897,0.0
Student Achievement Rating,0.10302775379556794,0.09494692274868122,12.749648297035055,7.849300480026945e-10,4938.372402543151,4958.9075169818625,Student Achievement Rating_nan,-18.04468085106379,0.34273776782312426,0.0
