model,model_adj_r2,model_aic,model_bic,model_f_stat,model_f_stat_pval,model_r2,pred_coef,pred_col,pred_col_pval,pred_num_miss
Economic Need Index,0.1649613194617654,4899.244504140309,4907.458549915794,89.50209318595397,1.7588449608150498e-19,0.1668252450879668,130.31004450576708,const,1.425908267590199e-35,
Economic Need Index,0.1649613194617654,4899.244504140309,4907.458549915794,89.50209318595397,1.7588449608150498e-19,0.1668252450879668,-129.72214647071735,Economic Need Index,1.75884496081539e-19,0.0
Percent ELL,0.010635410178213456,4975.38810665294,4983.602152428425,5.8158826471623435,0.016284236207944447,0.01284381328049422,50.16248063500304,const,1.4544549009238087e-30,
Percent ELL,0.010635410178213456,4975.38810665294,4983.602152428425,5.8158826471623435,0.016284236207944447,0.01284381328049422,-61.31015091728054,Percent ELL,0.01628423620794786,0.0
Percent Asian,0.31996524574287655,4807.0494745125,4815.263520287985,211.7898591880051,1.4953546738161956e-39,0.3214831804622005,19.583032783610484,const,5.200250252162513e-11,
Percent Asian,0.31996524574287655,4807.0494745125,4815.263520287985,211.7898591880051,1.4953546738161956e-39,0.3214831804622005,236.83410820751425,Percent Asian,1.495354673816363e-39,0.0
Percent Black,0.11345408045721472,4926.119343056421,4934.333388831906,58.331974491569774,1.3569968911436094e-13,0.11543297759905136,68.61778290212668,const,1.0261175318418921e-45,
Percent Black,0.11345408045721472,4926.119343056421,4934.333388831906,58.331974491569774,1.3569968911436094e-13,0.11543297759905136,-72.82143468492151,Percent Black,1.3569968911438755e-13,0.0
Percent Hispanic,0.0434026217922483,4960.265643824392,4968.479689599877,21.326602399180278,5.071018031010264e-06,0.04553788379717638,64.14428639593744,const,4.1169565392372095e-29,
Percent Hispanic,0.0434026217922483,4960.265643824392,4968.479689599877,21.326602399180278,5.071018031010264e-06,0.04553788379717638,-49.713685793805936,Percent Hispanic,5.071018031011258e-06,0.0
Percent Black / Hispanic,0.3237240100957748,4804.560827242962,4812.774873018447,215.4514350471708,4.3078823660230914e-40,0.3252335547160967,142.69299782163532,const,1.8900796313984681e-63,
Percent Black / Hispanic,0.3237240100957748,4804.560827242962,4812.774873018447,215.4514350471708,4.3078823660230914e-40,0.3252335547160967,-129.9127684385885,Percent Black / Hispanic,4.307882366023595e-40,0.0
Percent White,0.1439873483701254,4910.382895721276,4918.596941496761,76.35675079917817,4.802256876619842e-17,0.14589809089608496,28.195506952547518,const,3.464474625505663e-17,
Percent White,0.1439873483701254,4910.382895721276,4918.596941496761,76.35675079917817,4.802256876619842e-17,0.14589809089608496,128.7888372388235,Percent White,4.8022568766206563e-17,0.0
Student Attendance Rate,0.01451321618586765,4973.62479711132,4981.838842886805,7.597674325072473,0.0060834462301193595,0.01671296347116713,-37.193560637705744,const,0.20606654537155233,
Student Attendance Rate,0.01451321618586765,4973.62479711132,4981.838842886805,7.597674325072473,0.0060834462301193595,0.01671296347116713,86.9836937656717,Student Attendance Rate,0.006083446230120237,0.0
Percent of Students Chronically Absent,0.10707845432022589,4929.336786972551,4937.550832748036,54.72381007890359,6.918060726399609e-13,0.10907158277040396,73.40097883995439,const,2.686354749174138e-41,
Percent of Students Chronically Absent,0.10707845432022589,4929.336786972551,4937.550832748036,54.72381007890359,6.918060726399609e-13,0.10907158277040396,-142.90449919596728,Percent of Students Chronically Absent,6.918060726400824e-13,0.0
Rigorous Instruction %,0.0005368166098596028,4979.947885576326,4988.161931351811,1.2406230116464456,0.2659495754877789,0.0027677612156411513,0.2482675259333717,const,0.994900961909603,
Rigorous Instruction %,0.0005368166098596028,4979.947885576326,4988.161931351811,1.2406230116464456,0.2659495754877789,0.0027677612156411513,49.07745388400352,Rigorous Instruction %,0.26594957548783876,0.0
Collaborative Teachers %,0.0006349915008555529,4979.903779208134,4988.117824983619,1.284656947125382,0.2576424779175192,0.0028657169662554827,8.469715721153996,const,0.78434793895348,
Collaborative Teachers %,0.0006349915008555529,4979.903779208134,4988.117824983619,1.284656947125382,0.2576424779175192,0.0028657169662554827,39.82591080129575,Collaborative Teachers %,0.2576424779175412,0.0
Supportive Environment %,0.00016222892632078434,4980.1161342549485,4988.330180030433,1.0726903514693793,0.30089851783022564,0.002394009665324548,2.048383066759528,const,0.959186969705172,
Supportive Environment %,0.00016222892632078434,4980.1161342549485,4988.330180030433,1.0726903514693793,0.30089851783022564,0.002394009665324548,48.584121505695165,Supportive Environment %,0.3008985178302583,0.0
